,year,state,ev_r,ev_d,population,total_vap,total_reg,total_vote,perc_vap,perc_reg,d_placed,r_placed,perc_margin,vote_perc_d,vote_perc_r,vote_perc_t,vote_perc_o,electoral,governor,con_house_d,con_house_r,con_sen_d,con_sen_r,leg_house_d,leg_house_r,leg_sen_d,leg_sen_r
0,2016,arizona,11,0,6931071.0,2650448.272727273,4088036.0,2604657,47.13636363636363,63.7,2,1,3.5,44.58,48.08,4.08,3.25,R,R,4,5,0,2,24,36,12,18
1,2016,arkansas,6,0,2988248.0,1716394.7272727273,1759982.0,1130635,50.25454545454545,64.2,2,1,26.92,33.65,60.57,2.64,3.13,R,R,0,4,0,2,35,64,11,24
2,2016,california,0,55,39250017.0,20203289.545454547,19411771.0,14237893,50.26363636363636,73.3,1,2,29.99,61.48,31.49,3.36,3.66,D,D,39,14,2,0,52,28,26,14
3,2016,colorado,0,9,5540545.0,2483406.4545454546,3840159.0,2780247,58.781818181818174,72.4,1,2,4.91,48.16,43.25,5.18,3.41,D,D,3,4,1,1,34,31,17,18
4,2016,connecticut,0,7,3576452.0,2381271.909090909,2357733.0,1644920,61.49090909090909,69.8,1,2,13.64,54.57,40.93,2.96,1.55,D,D,5,0,2,0,87,64,21,15
5,2016,delaware,0,3,952065.0,492330.7272727273,675663.0,443814,57.57272727272727,65.7,1,2,11.37,53.09,41.71,3.33,1.88,D,D,1,0,2,0,25,16,12,9
6,2016,florida,29,0,20612439.0,9349346.0,6970367.583333333,9502747,50.63636363636363,73.97500000000001,2,1,1.19,47.41,48.6,2.18,1.82,R,R,10,17,1,1,39,81,14,26
7,2016,georgia,16,0,10310371.0,4732607.181818182,5443046.0,4141447,44.127272727272725,76.1,2,1,5.1,45.35,50.44,3.03,1.18,R,R,4,10,0,2,60,119,17,39
8,2016,hawaii,0,3,1428557.0,774733.1818181818,749917.0,428937,44.93636363636363,57.2,1,2,32.18,62.22,30.04,3.72,4.02,D,D,2,0,2,0,44,7,24,1
9,2016,idaho,4,0,1683140.0,736347.4545454546,936529.0,690433,61.781818181818174,73.7,2,1,31.76,27.48,59.25,4.1,9.17,R,R,0,2,0,2,14,56,7,28
10,2016,illinois,0,20,12801539.0,8441005.818181818,8029847.0,5594825,57.55454545454545,69.7,1,2,16.89,55.24,38.36,3.75,2.65,D,R,10,8,1,1,71,47,39,20
11,2016,indiana,11,0,6633053.0,4047533.1818181816,4829243.0,2757965,56.61818181818182,57.1,2,1,19.01,37.46,56.47,4.86,1.22,R,R,2,7,1,1,29,71,10,40
12,2016,iowa,6,0,3134693.0,2073180.9090909092,2172985.0,1566031,63.6090909090909,72.1,2,1,9.41,41.74,51.15,3.78,3.33,R,R,1,3,0,2,43,57,26,24
13,2016,kansas,6,0,2907289.0,1785927.0909090908,1817920.0,1194755,58.54545454545453,65.7,2,1,20.42,35.74,56.16,4.64,3.46,R,R,0,4,0,2,27,98,8,32
14,2016,kentucky,8,0,4436974.0,2710629.8181818184,3306120.0,1924150,51.17272727272727,58.2,2,1,29.84,32.68,62.52,2.79,2.0,R,R,1,5,0,2,50,46,11,27
15,2016,kentucky,8,0,4436974.0,2710629.8181818184,3306120.0,1924150,51.17272727272727,58.2,2,1,29.84,32.68,62.52,2.79,2.0,R,R,1,5,0,2,53,47,11,27
16,2016,louisiana,8,0,4681666.0,2917320.272727273,3023241.0,2029032,54.36363636363637,67.1,2,1,19.64,38.45,58.09,1.87,1.59,R,D,1,5,0,2,42,61,14,25
17,2016,maine,1,3,1331479.0,863904.0909090909,1064258.0,747927,66.3,70.3,1,2,2.96,47.83,44.87,5.09,2.21,"D,R",R,1,1,0,0,78,69,15,20
18,2016,maryland,0,10,6016447.0,3415824.272727273,2495207.75,2781446,52.309090909090905,75.05,1,2,26.42,60.33,33.91,2.86,2.9,D,R,7,1,0,0,91,50,33,14
19,2016,massachusetts,0,11,6811779.0,4438830.0,4534974.0,3325046,59.790909090909096,73.3,1,2,27.2,60.01,32.81,4.15,3.04,E,R,9,0,2,0,125,35,34,6
20,2016,michigan,16,0,9928300.0,6669804.454545454,7514055.0,4824542,60.054545454545455,64.2,2,1,0.22,47.03,47.25,3.57,2.16,R,R,5,9,2,0,47,63,11,27
21,2016,minnesota,0,10,5519952.0,3145540.090909091,3623913.0,2945233,70.02727272727272,81.3,1,2,1.51,46.44,44.93,3.84,4.79,D,Mark Dayton (DFL),5,3,2,0,61,73,39,28
22,2016,mississippi,6,0,2988726.0,1801204.9090909092,2085757.0,1211088,51.027272727272724,58.1,2,1,17.8,40.06,57.86,1.19,0.89,R,R,1,3,0,2,48,74,20,32
23,2016,missouri,10,0,6093000.0,3756100.8181818184,4223787.0,2828266,59.25454545454545,67.0,2,1,18.51,37.87,56.38,3.44,2.31,R,D,2,6,0,1,45,117,8,24
24,2016,montana,3,0,1042520.0,588750.0909090909,694370.0,501822,65.11818181818181,72.3,2,1,20.23,35.41,55.65,5.59,3.35,R,D,0,1,1,1,41,59,21,29
25,2016,nebraska,5,0,1907116.0,1154604.3636363635,1211101.0,844227,58.01818181818181,69.7,2,1,25.05,33.7,58.75,4.61,2.94,R,R,1,2,0,2,0,0,0,0
26,2016,nevada,0,6,2940058.0,954593.2727272727,1679254.0,1125385,45.86363636363637,67.0,1,2,2.42,47.92,45.5,3.32,3.26,D,R,1,3,1,1,17,24,10,11
27,2016,new hampshire,0,4,1334795.0,765444.0909090909,1016926.0,744296,61.47272727272727,73.2,1,2,0.37,46.83,46.46,4.14,2.58,D,D,2,2,1,1,160,239,10,14
28,2016,new jersey,0,14,8944469.0,5722352.363636363,5808260.0,3906723,56.372727272727275,67.3,1,2,13.98,54.99,41.0,1.86,2.15,D,R,6,6,2,0,0,0,24,16
29,2016,new mexico,0,5,2081015.0,1043588.9090909091,1289420.0,798319,52.27272727272727,61.9,1,2,8.21,48.26,40.04,9.34,2.36,D,R,2,1,2,0,33,37,24,18
30,2016,new york,0,29,19745289.0,13415478.727272727,12493250.0,7721795,51.03636363636363,61.8,1,2,22.49,59.0,36.51,2.29,2.2,D,D,18,9,2,0,104,43,0,0
31,2016,north carolina,15,0,10146788.0,4922272.363636363,6896349.0,4741564,48.73636363636364,68.8,2,1,3.66,46.17,49.83,2.74,1.25,R,E,3,10,0,2,45,74,16,34
32,2016,north dakota,3,0,757952.0,457845.54545454547,6510583.846153846,344360,64.30000000000001,75.29999999999998,2,1,35.73,27.23,62.96,6.22,3.59,R,R,0,1,1,1,23,71,15,32
33,2016,ohio,18,0,11614373.0,7863454.454545454,7861025.0,5536547,58.83636363636363,70.4,2,1,8.07,43.24,51.31,3.15,2.29,R,R,4,12,1,1,34,65,10,23
34,2016,oklahoma,7,0,3923561.0,2271035.4545454546,2157450.0,1452992,53.972727272727276,67.3,2,1,36.39,28.93,65.32,5.75,0.0,R,R,0,5,0,2,30,71,9,39
35,2016,oregon,0,7,4093465.0,2170212.9,2553806.0,2001336,62.260000000000005,78.4,1,2,10.98,50.07,39.09,4.71,6.13,D,D,4,1,2,0,35,25,18,12
36,2016,pennsylvania,20,0,12784227.0,8864096.909090908,8722977.0,6166729,55.59090909090909,70.7,2,1,0.72,47.46,48.17,2.38,1.99,Donald Trump and Mike Pence (R ) Y,D,5,13,1,1,84,119,19,31
37,2016,pennsylvania,20,0,12784227.0,8864096.909090908,8722977.0,6166729,55.59090909090909,70.7,2,1,0.72,47.46,48.17,2.38,1.99,Donald Trump and Mike Pence (R ) Y,D,5,13,1,1,84,119,19,31
38,2016,rhode island,0,4,1056426.0,737891.8181818182,770875.0,464144,57.09090909090909,60.2,1,2,15.51,54.41,38.9,3.18,3.52,D,D,2,0,2,0,62,12,32,5
39,2016,south dakota,3,0,865454.0,504465.2727272727,595126.0,370093,65.06363636363636,62.2,2,1,29.79,31.74,61.53,5.63,1.1,R,R,0,1,0,2,12,58,8,27
40,2016,tennessee,11,0,6651194.0,3622186.090909091,4110318.0,2508027,49.67272727272727,61.0,2,1,26.01,34.72,60.72,2.81,1.75,R,R,2,7,0,2,26,73,5,28
41,2016,texas,36,0,27862596.0,11903894.272727273,15101087.0,8993166,45.71818181818182,59.6,2,1,8.98,43.12,52.1,3.15,1.63,R,R,11,25,0,2,50,99,11,20
42,2016,utah,6,0,3051217.0,1138758.0,1576497.0,1143601,61.436363636363645,72.5,2,1,17.89,27.17,45.05,3.46,24.32,R,R,0,4,0,2,12,63,5,24
43,2016,vermont,0,3,624594.0,397749.8181818182,471619.0,315067,61.618181818181824,66.8,1,2,26.41,56.68,30.27,3.2,9.85,D,D,1,0,1,0,85,53,18,9
44,2016,virginia,0,13,8411808.0,4442881.0,5604003.0,3982752,51.099999999999994,71.1,1,2,5.32,49.75,44.43,2.97,2.85,D,D,3,8,2,0,34,66,19,21
45,2016,washington,0,8,7288000.0,3495940.090909091,4270270.0,3316996,59.50909090909091,77.7,1,2,15.71,52.54,36.83,4.85,5.78,D,D,6,4,2,0,50,48,23,26
46,2016,west virginia,5,0,1831102.0,1345597.1818181819,1274887.0,721233,53.45454545454547,56.6,2,1,41.68,26.18,67.85,3.19,2.78,R,D,0,0,1,1,0,0,0,0
47,2016,wisconsin,10,0,5778708.0,3537026.272727273,3711904.0,2976150,65.71818181818182,80.2,2,1,0.76,46.45,47.22,3.58,2.74,R,R,3,5,1,1,36,63,14,19
48,2016,wyoming,3,0,585501.0,321880.45454545453,278042.0,255849,59.68181818181818,92.0,2,1,46.3,21.88,68.17,5.19,4.76,R,R,0,1,0,2,9,51,4,26
49,2012,alabama,9,0,4822023.0,2911044.3636363638,3162135.0,2074338,50.4909090909091,65.6,2,1,22.19,38.36,60.55,0.0,1.1,R,R,1,6,0,2,39,66,12,22
50,2012,alaska,3,0,731449.0,349465.0,506434.0,300495,57.790909090909096,59.3,2,1,13.99,40.81,54.8,0.0,4.39,R,R,0,1,1,1,16,24,10,10
51,2012,arizona,11,0,6553255.0,2650448.272727273,3725362.0,2306559,47.13636363636363,61.9,2,1,9.04,44.45,53.48,0.0,2.07,R,R,3,5,0,2,20,40,9,21
52,2012,arkansas,6,0,2949131.0,1716394.7272727273,1618328.0,1069468,50.25454545454545,66.1,2,1,23.69,36.88,60.57,0.0,2.55,Mitt Romney and Paul Ryan N,D,1,3,0,1,54,46,20,15
53,2012,california,0,55,38041430.0,20203289.545454547,18245970.0,13055815,50.26363636363636,71.6,1,2,23.09,60.16,37.07,0.0,2.77,D,D,34,19,2,0,52,27,25,15
54,2012,california,0,55,38041430.0,20203289.545454547,18245970.0,13055815,50.26363636363636,71.6,1,2,23.09,60.16,37.07,0.0,2.77,E,D,34,19,2,0,52,28,25,15
55,2012,colorado,0,9,5187582.0,2483406.4545454546,3644344.0,2571846,58.781818181818174,70.6,1,2,5.36,51.45,46.09,0.0,2.47,D,D,3,4,2,0,32,33,20,15
56,2012,connecticut,0,7,3590347.0,2381271.909090909,2218663.0,1558993,61.49090909090909,70.3,1,2,17.33,58.06,40.72,0.0,1.22,D,D,5,0,2,0,99,52,22,14
57,2012,delaware,0,3,917092.0,492330.7272727273,632417.0,413921,57.57272727272727,65.5,1,2,18.63,58.61,39.98,0.0,1.41,D,D,1,0,2,0,26,15,14,7
58,2012,d.c.,0,3,632323.0,481157.0,483600.0,293764,41.74545454545454,60.7,1,2,83.63,90.91,7.28,0.0,1.81,D,D,1,0,2,0,0,0,0,0
59,2012,florida,0,29,19317568.0,9349346.0,11934446.0,8492175,50.63636363636363,71.2,1,2,0.88,49.9,49.03,0.0,1.07,D,R,6,19,1,1,39,81,12,28
