year,state,total_revenue,instruction_expense,property_expense,total_edu_expense,per_pupil_expense
2000,Alabama,6734879639.4101515,3592551935.1093965,224927785.28950644,6879115228.737207,7314.254755804701
2000,Alaska,1895196950.2268527,923974378.4318643,72375195.20218351,1916756530.9459932,12751.12796034231
2000,Arizona,7670324652.043991,3631072859.3004475,698405965.3986934,7788935591.5682,7102.916696262547
2000,Arkansas,3805995990.3445935,2017782160.367741,134297423.51415217,3663106509.964315,7403.965384589343
2000,California,62828738919.73134,33217650711.177696,2263271958.605552,61966316356.020584,8563.135730543661
2000,Colorado,7100242029.300297,3554296289.735558,280095194.9888908,7284891788.2803545,8543.724122461887
2000,Connecticut,8453836066.859948,4775383594.335534,244432285.86149827,8588821939.721581,13511.559299501381
2000,Delaware,1494808802.893409,804045188.6131186,37760433.71804298,1437867747.0391,11811.261625659516
2000,District Of Columbia,1220410493.22259,452033528.17757845,45207517.81728224,1211978160.8755865,15622.601727496543
2000,Florida,23618826214.25581,11256143155.924166,1045547925.6172998,23890658987.079746,8257.06248083482
2000,Georgia,15438715007.459816,7962983325.652108,514321212.4445355,14953683591.436373,9170.990585146908
2000,Hawaii,1958101517.9909468,1066420322.5310977,60140503.872653894,1904188008.2772126,9523.89414596758
2000,Idaho,2051725436.0653603,1120710024.4014518,105612876.80141115,2037314444.3284554,7547.850161810857
2000,Illinois,23123946338.17169,12107455692.466036,2547772491.835825,23775698140.07618,10705.78822310376
2000,Indiana,11746345861.448444,6178804060.7333975,536007793.38342047,11175570773.909147,10116.621383319418
2000,Iowa,5177658065.674704,2678149088.8007493,183329514.20226482,5078238120.714716,8890.129871960857
2000,Kansas,4750847714.963525,2374728728.4969573,192636649.76396632,4442592809.475093,9200.826503069275
2000,Kentucky,6035881304.121266,3266581046.7177763,210158858.37445414,5661271271.693781,8898.162927528205
2000,Louisiana,6840249459.6452675,3687394483.848119,212391648.2342683,6724471227.129512,8107.543926536108
2000,Maine,2525460661.9990244,1495183789.4399536,113402768.11144601,2458678225.03615,10918.830508413468
2000,Maryland,10094154025.144867,5614733335.979698,267811815.13130665,10136174952.46166,10922.608304021478
2000,Massachusetts,12906480901.914753,7944915062.091092,227867197.84914055,12289803486.049555,12602.778347167963
2000,Michigan,21443345631.488384,11341989477.123775,1196767945.828682,22757412485.54345,11784.44348739939
2000,Minnesota,10018977478.552572,5381853354.994849,427305172.1116899,10223490039.843985,9903.054020388625
2000,Mississippi,3872595627.550877,2136020598.435308,170104265.75933218,4005354709.3339257,6788.527153644667
2000,Missouri,9289892589.109734,4856051842.561203,378061405.5634669,9124951349.195587,8775.690977885492
2000,Montana,1535396294.6746633,865089979.4872184,35671760.95350755,1480660447.3879328,8991.260951564509
2000,Nebraska,3089505653.5980144,1686448233.3287575,174920006.2143322,3007903711.2414403,9418.223644409798
2000,Nevada,3152708218.903624,1559777585.5658479,145644536.34349012,3228923820.1910396,8074.068434372428
2000,New Hampshire,2173796236.777991,1295041195.3234553,58107767.234314755,2163533686.5912604,9519.524781090304
2000,New Jersey,20754953559.54679,10939068179.950762,452922126.9165854,20522860083.730972,14650.624625999257
2000,New Mexico,3123125064.797596,1486543490.051812,168048269.9060337,3041983782.5664463,7639.157927797121
2000,New York,45162384305.80459,26994827641.158436,826024513.9786354,43897710223.34046,14726.367017961204
2000,North Carolina,12261359133.101841,6820242232.215715,484839187.4204239,12753072645.059362,8626.801116726487
2000,North Dakota,1045237665.6972358,532822407.0992393,48148616.8372532,1010113990.4155054,7657.124939575623
2000,Ohio,21228613485.7233,10639212444.86653,1921105551.1685076,20579720080.77514,10118.08643592957
2000,Oklahoma,5164461966.513989,2727111769.7989664,112289192.7759698,5068402261.718427,7347.0433342349625
2000,Oregon,6040533432.835755,3223958096.267573,171445687.46138793,6000015498.483897,10740.833885646955
2000,Pennsylvania,22613694965.681717,12345967936.67514,379733094.73776424,22739420679.961525,11119.776279416412
2000,Rhode Island,2018463621.3580897,1277539548.985157,32386440.047334496,1996062253.0213244,12971.68895428919
2000,South Carolina,6853837816.936405,3414786623.6097617,321916324.1439141,6773767580.57733,8470.95647514784
2000,South Dakota,1205666658.3285658,619664269.5297445,85894041.0582985,1232668574.7813532,7888.550881588651
2000,Tennessee,7496424127.82849,4482505452.305535,295930222.6840534,7947956388.42452,7625.506871113061
